"Entidad","Año","Dosis"
"Sinaloa",2000,33461
"Sinaloa",2001,29686
"Sinaloa",2002,30348
"Sinaloa",2003,31543
"Sinaloa",2004,7855
"Sinaloa",2005,13472
"Sinaloa",2006,76701
"Sinaloa",2007,22218
"Sinaloa",2008,24970
"Sinaloa",2009,7391
"Sinaloa",2010,24029
"Sinaloa",2011,25054
"Sinaloa",2012,22557
"Sinaloa",2013,24330
"Sinaloa",2014,20752
"Sinaloa",2015,16302
"Sinaloa",2016,18654
"Sinaloa",2017,18402
"Sinaloa",2018,18351
"Sinaloa",2019,12966
"Sinaloa",2020,10217
"Sonora",2000,29661
"Sonora",2001,28881
"Sonora",2002,25903
"Sonora",2003,66552
"Sonora",2004,2595
"Sonora",2005,14944
"Sonora",2006,35244
"Sonora",2007,22825
"Sonora",2008,31459
"Sonora",2009,20049
"Sonora",2010,40252
"Sonora",2011,35012
"Sonora",2012,29003
"Sonora",2013,31431
"Sonora",2014,29621
"Sonora",2015,26960
"Sonora",2016,19802
"Sonora",2017,24867
"Sonora",2018,18133
"Sonora",2019,17804
"Sonora",2020,10624
