"FECHA_SINTOMAS","n"
"2020-01-01","287"
"2020-01-02","233"
"2020-01-03","247"
"2020-01-04","245"
"2020-01-05","349"
"2020-01-06","345"
"2020-01-07","349"
"2020-01-08","321"
"2020-01-09","293"
"2020-01-10","367"
"2020-01-11","301"
"2020-01-12","437"
"2020-01-13","568"
"2020-01-14","472"
"2020-01-15","468"
"2020-01-16","368"
"2020-01-17","302"
"2020-01-18","399"
"2020-01-19","561"
"2020-01-20","639"
"2020-01-21","487"
"2020-01-22","409"
"2020-01-23","377"
"2020-01-24","404"
"2020-01-25","447"
"2020-01-26","549"
"2020-01-27","562"
"2020-01-28","470"
"2020-01-29","409"
"2020-01-30","292"
"2020-01-31","289"
"2020-02-01","381"
"2020-02-02","431"
"2020-02-03","478"
"2020-02-04","507"
"2020-02-05","400"
"2020-02-06","315"
"2020-02-07","321"
"2020-02-08","421"
"2020-02-09","512"
"2020-02-10","603"
"2020-02-11","396"
"2020-02-12","340"
"2020-02-13","302"
"2020-02-14","337"
"2020-02-15","425"
"2020-02-16","460"
"2020-02-17","490"
"2020-02-18","467"
"2020-02-19","367"
"2020-02-20","327"
"2020-02-21","308"
"2020-02-22","413"
"2020-02-23","459"
"2020-02-24","535"
"2020-02-25","468"
"2020-02-26","390"
"2020-02-27","360"
"2020-02-28","401"
"2020-02-29","485"
"2020-03-01","668"
"2020-03-02","620"
"2020-03-03","496"
"2020-03-04","455"
"2020-03-05","382"
"2020-03-06","338"
"2020-03-07","411"
"2020-03-08","582"
"2020-03-09","740"
"2020-03-10","750"
"2020-03-11","663"
"2020-03-12","649"
"2020-03-13","769"
"2020-03-14","838"
"2020-03-15","1136"
"2020-03-16","1307"
"2020-03-17","1320"
"2020-03-18","1337"
"2020-03-19","1222"
"2020-03-20","1789"
"2020-03-21","1456"
"2020-03-22","1732"
"2020-03-23","2657"
"2020-03-24","2364"
"2020-03-25","2526"
"2020-03-26","2409"
"2020-03-27","2569"
"2020-03-28","2523"
"2020-03-29","2552"
"2020-03-30","3207"
"2020-03-31","2679"
"2020-04-01","3481"
"2020-04-02","2559"
"2020-04-03","2792"
"2020-04-04","2597"
"2020-04-05","2599"
"2020-04-06","3270"
"2020-04-07","3026"
"2020-04-08","3123"
"2020-04-09","3000"
"2020-04-10","3967"
"2020-04-11","3228"
"2020-04-12","3408"
"2020-04-13","4384"
"2020-04-14","3774"
"2020-04-15","4323"
"2020-04-16","3866"
"2020-04-17","4176"
"2020-04-18","4193"
"2020-04-19","4244"
"2020-04-20","6400"
"2020-04-21","4182"
"2020-04-22","4300"
"2020-04-23","4404"
"2020-04-24","4733"
"2020-04-25","5032"
"2020-04-26","4592"
"2020-04-27","5766"
"2020-04-28","4990"
"2020-04-29","4353"
"2020-04-30","5565"
"2020-05-01","7500"
"2020-05-02","5504"
"2020-05-03","5337"
"2020-05-04","6755"
"2020-05-05","6839"
"2020-05-06","5862"
"2020-05-07","6101"
"2020-05-08","7156"
"2020-05-09","6330"
"2020-05-10","8508"
"2020-05-11","8036"
"2020-05-12","7019"
"2020-05-13","6940"
"2020-05-14","6799"
"2020-05-15","9431"
"2020-05-16","6926"
"2020-05-17","6940"
"2020-05-18","10106"
"2020-05-19","8142"
"2020-05-20","10717"
"2020-05-21","7174"
"2020-05-22","8747"
"2020-05-23","8037"
"2020-05-24","7979"
"2020-05-25","12061"
"2020-05-26","8595"
"2020-05-27","8648"
"2020-05-28","9453"
"2020-05-29","9210"
"2020-05-30","8992"
"2020-05-31","8219"
"2020-06-01","15260"
"2020-06-02","9785"
"2020-06-03","9806"
"2020-06-04","9607"
"2020-06-05","11414"
"2020-06-06","10551"
